Pk,Pk_,Yrs,G,FG%,3P%,FT%,WS,WS/48,BPM,VORP,MPG,PPG,RPG,APG
4,4,11,707,0.518,0.278,0.606,46.6,0.117,-1.7,1.4,27.1,9.1,8.5,1
4,4,14,790,0.462,0.257,0.76,43.9,0.105,-1.2,4.3,25.5,11,7.1,1.1
4,4,9,609,0.404,0.337,0.741,10.7,0.038,-1.6,1.2,22.1,7,3.2,1.1
4,4,6,289,0.435,0.191,0.691,2.7,0.022,-3.7,-2.6,20.9,9.6,4.6,1.2
4,4,4,185,0.457,0.353,0.779,11.6,0.11,0,2.6,27.2,15.8,5.1,1.2
4,4,4,187,0.399,0.323,0.654,0.5,0.006,-3.9,-1.9,20.1,5.4,3.9,1.3
4,4,2,76,0.486,0.396,0.736,2.7,0.061,-2.4,-0.2,27.7,9.1,4.4,1.3
4,4,15,957,0.435,0.35,0.731,59,0.113,1.1,19.9,26.2,11.2,6.7,1.4
4,4,9,494,0.52,0.221,0.731,32.2,0.141,-0.5,4.1,22.2,8.5,6,1.4
4,4,6,320,0.442,0.353,0.816,25.1,0.122,1.5,8.8,31,18.7,7.8,1.5
4,4,16,1083,0.451,0.346,0.724,87.8,0.112,0.6,24.5,34.8,18.5,7.5,1.6
4,4,3,116,0.434,0.356,0.778,2.2,0.03,-3.4,-1.3,30.8,13,4.3,1.7
4,4,16,1109,0.467,0.336,0.721,105.1,0.139,2.2,38.3,32.7,14.4,6.7,1.8
4,4,5,280,0.417,0.293,0.679,-1.6,-0.012,-3.8,-2.9,23.6,11.5,4.1,1.9
4,4,13,893,0.494,0.335,0.799,106,0.159,1.9,31.1,35.8,19.2,8.5,2
4,4,10,629,0.417,0.397,0.793,33.4,0.089,0.2,9.9,28.6,12.9,2.8,2.1
4,4,8,506,0.457,0.322,0.699,27.5,0.09,0,7.2,28.8,12.9,6.3,2.5
4,4,8,419,0.412,0.346,0.694,8.8,0.036,-2.1,-0.4,28.2,13.1,2.6,2.8
4,4,14,833,0.486,0.178,0.794,29.9,0.084,-1,4.3,20.6,6.3,2.4,3
4,4,14,885,0.428,0.365,0.825,35.8,0.059,-0.9,8.2,32.8,14.3,4.7,3.2
4,4,1,49,0.47,0.313,0.733,3.8,0.104,0,0.9,35.4,14.4,7.4,3.3
4,4,13,872,0.444,0.311,0.793,47,0.115,0,10.1,22.6,7.6,1.8,3.4
4,4,14,961,0.463,0.312,0.693,77,0.115,1.9,31.4,33.4,13.3,8.4,3.7
4,4,11,611,0.418,0.345,0.766,43.7,0.092,0.3,13.4,37.3,19.1,5.4,4
4,4,10,594,0.44,0.323,0.757,28.4,0.075,0.8,13.1,30.7,15.7,4.6,4.8
4,4,15,938,0.439,0.381,0.821,85.3,0.136,2.5,34.1,32,14.9,3,5.6
4,4,13,846,0.433,0.325,0.784,77.5,0.117,1.8,30.7,37.7,19.3,3,7.6
4,4,14,1000,0.437,0.305,0.785,106.4,0.147,4.4,55.8,34.7,22.9,7.4,8.5
4,4,17,1148,0.473,0.37,0.872,198.2,0.24,7.3,93.2,34.6,18.2,4.5,9.5
5,5,6,361,0.462,0.222,0.74,9.9,0.085,-3,-1.5,15.5,4.5,4.3,0.5
5,5,14,837,0.488,0.162,0.69,36.4,0.099,-1.8,0.8,21.1,6.1,5.1,0.6
5,5,8,262,0.417,0.34,0.763,3.8,0.047,-2.6,-0.6,14.7,5.5,2.2,0.6
5,5,5,313,0.47,0,0.505,4.6,0.053,-3.5,-1.6,13.4,4.9,4.8,0.6
5,5,4,172,0.304,0.235,0.73,-1.6,-0.039,-6.1,-2,11.3,2.9,1.8,0.7
5,5,9,564,0.507,0.331,0.683,21.5,0.097,-1.9,0.3,19,7.7,5.9,0.9
5,5,10,674,0.563,0.366,0.784,65.4,0.179,1.1,13.7,26.1,13.3,9.4,1.1
5,5,5,330,0.417,0.319,0.812,3.2,0.025,-2.8,-1.2,18.5,6.9,3.1,1.3
5,5,14,1030,0.447,0.34,0.805,49.2,0.079,-1.3,4.9,29.1,12.7,4.3,1.5
5,5,11,624,0.452,0.302,0.73,32.8,0.089,-1,4.6,28.2,11.9,6.5,1.6
5,5,2,110,0.435,0.299,0.746,3.6,0.051,-3.9,-1.6,31,9.4,3.1,1.9
5,5,6,245,0.407,0.305,0.764,3.1,0.032,-3.3,-1.5,18.6,5.7,1.8,2.1
5,5,19,1208,0.469,0.12,0.764,59.4,0.078,-1.6,3.8,30.3,13.4,6.1,2.2
5,5,14,788,0.441,0.372,0.829,87.5,0.171,3.4,33.5,31.1,17.8,10.8,2.4
5,5,17,1032,0.459,0.407,0.769,60.7,0.105,0.8,19.8,26.9,10.6,4.2,2.6
5,5,9,563,0.443,0.352,0.812,22.8,0.061,-1,4.5,31.7,16.7,3.8,2.7
5,5,13,857,0.438,0.37,0.707,59.1,0.097,1.2,23.8,34.1,17.1,5,2.7
5,5,15,966,0.434,0.3,0.754,47.8,0.078,0.1,15.8,30.5,13.4,4.1,3
5,5,14,942,0.44,0.358,0.845,83.7,0.139,1.4,24.6,30.6,14.3,3.2,3.1
5,5,22,1541,0.435,0.371,0.798,125.3,0.13,3,57.9,30.1,16.7,4.3,3.1
5,5,11,631,0.459,0.33,0.737,46,0.115,2.5,21.5,30.4,19.9,10.4,3.1
5,5,18,1300,0.452,0.4,0.894,145.1,0.15,2.9,57.6,35.6,18.9,4.1,3.4
5,5,21,1462,0.497,0.275,0.789,191.4,0.182,5.6,96.9,34.5,17.8,10,3.7
5,5,15,985,0.432,0.325,0.796,54.9,0.11,0.6,15.5,24.3,10.8,2.2,3.9
5,5,5,231,0.42,0.305,0.727,3.7,0.032,-1.9,0.1,24.1,8.2,3.3,4.1
5,5,1,39,0.367,0.228,0.776,-1.2,-0.052,-5.2,-0.9,28.2,12.6,3.7,4.4
